communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/UCbp4A7wrxo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/__fZSlNkGeU,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2783eab5c34d7a4bbf769893,src-910424c8045d804da503db38,VIDEO,https://www.youtube.com/watch?v=SnWpdwGQLIo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-27a60512823c489bd56bf0e8,src-25c0cab91d7e82c3099d3ae7,VIDEO,https://www.youtube.com/watch?v=DSwKgJz8dVk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-284ab1f28f1c0e2cffc2ee8b,src-95bdc0fa8290fa41b0ae1cf2,VIDEO,https://www.youtube.com/watch?v=m292SEk7u88,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2a3975cf8e71f4409810d3a6,src-08fde1b32847dea97f812b30,VIDEO,https://www.youtube.com/watch?v=YiOPg_LThd4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2ad3e73245f2cc9fa624b7b5,src-84676792dfc73eef0b611402,VIDEO,https://www.youtube.com/live/-tcpixYvVkc,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2b0575e1dcc86ba18bb7d0df,src-bb2b91477419480fda847f12,VIDEO,https://www.youtube.com/watch?v=tLAfqnJkWXk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2b2c6f9109f92ca296658586,src-94a93c86b3916f48894601d0,VIDEO,https://www.youtube.com/live/ikXKPFbR3YQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2c0905524ecc25f34ef329a3,src-12a2b4d8faafc7ea73dc916d,VIDEO,https://www.youtube.com/watch?v=hcvCHdN2T6k,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2ce795682cf76c15e12fdfc8,src-27fd94a698826896bd0f5ccd,VIDEO,https://www.youtube.com/watch?v=1qT8I715OHI,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2de482f1b6f8b5448159d5d8,src-c40ec70dac1d95e77d9358a0,VIDEO,https://www.youtube.com/watch?v=_jwRU5_dpnU,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2e2cf61c6d32cb4a0915097f,src-d43cd1d00221ec23df4b170e,VIDEO,https://www.youtube.com/watch?v=WKtIK1Hz4l4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2edb7c2b395a9cd3b54d1854,src-4e02d909e5675724923ac174,VIDEO,https://www.youtube.com/watch?v=YvT85hbzzHI,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-2fa13c1673b76da5c5fcfd9f,src-6ba185ce86d4fe2e314dcabb,VIDEO,https://www.youtube.com/watch?v=7cMfinhz7xU,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-306e2c2a9f1af50c57b3fe46,src-b4c451e71dde8774609998f2,VIDEO,https://youtu.be/EBVtrNnPRGw,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3133d0790c829af82e977b06,src-42716e04b1e3cbef97713775,VIDEO,https://www.youtube.com/watch?v=kwyBh_WMn7M,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3136e9d04e2c385e005854c4,src-c582623fb10e538fb6ba415d,VIDEO,https://youtube.com/live/GQu0dD-GtG8?feature=share,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-31dd62068f948f1241c2c6af,src-9e98d42442e622cd4fc299b0,VIDEO,https://www.youtube.com/watch?v=du-8tAcChvc,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-328b68c8a02fd9ebb4e368f0,src-8eb4087dcfe18de70b33890a,VIDEO,https://www.youtube.com/watch?v=yhIrdsTx6S4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-32e705b3c5dbd91b3cb0dcb7,src-76544510c9aba991d4ae0269,VIDEO,https://www.youtube.com/watch?v=RdawVGbIJq8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-333f6d0b0626026987e4cb0e,src-8be7fec10329e67c4db592bf,VIDEO,https://www.youtube.com/watch?v=pJtZXuCjVL8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-347cc52e594579281c32ed54,src-106369ad10b7329b1f6a8153,VIDEO,https://www.youtube.com/watch?v=nCEv9pLhhmg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-369a86aa359ae011d9c28498,src-5aac0f23a9c42b1cb5b0b97a,VIDEO,https://www.youtube.com/watch?v=zfCH_0WwAWg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-36bd03dc704401f6c30a1d0b,src-50a5776ce4515a4946c76b94,VIDEO,https://www.youtube.com/watch?v=6pbToUoMdaw,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-37333cf94cf8b5f717b9f18c,src-a80078802c5150c6bde23872,VIDEO,https://www.youtube.com/watch?v=37-9Xx30dYY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-37cde7007460e2a2fa5dace8,src-b0af5834b1ba60b43f3517ed,VIDEO,https://www.youtube.com/watch?v=RQrTj5kLkeQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-380e70e040a33371c3e825fe,src-24eb90789b3dcdab7104e600,VIDEO,https://www.youtube.com/watch?v=GgMyCI0T3eQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3841891c9a9c2670f19ee88c,src-f939fd3cdbe8e1b60a9df91a,VIDEO,https://youtu.be/lBdv08IhIlU,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-384e4f7f44665a373d6a3abe,src-9e699af4b3c41199d740f451,VIDEO,https://www.youtube.com/watch?v=970wA39KIdo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-388774f56cae215e3b7d70f4,src-bae553529a52ed90c5ae5491,VIDEO,https://www.youtube.com/live/JmHsicQhvls,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-394382fa324897c74ededf01,src-e09ba10fedb00ddcda16b27c,VIDEO,https://www.youtube.com/watch?v=mC9t_QZGts0,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3a7f4f96205f139f56f8c37e,src-da17acce215ff2da12905602,VIDEO,https://youtube.com/live/CCeM-1BhlD8?feature=share,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3ac87424e0438f2e48579269,src-a2848d7f83f3e707a7c4f99a,VIDEO,https://www.youtube.com/watch?v=hA1m4UYT_Xk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3dba3c48fa61e9abd1969030,src-c5f676ce14c3cbe6b68889b0,VIDEO,https://www.youtube.com/watch?v=ptaiWF_RW1c,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3ec13fd0b23713e2504a5529,src-9fde739c665b639853678324,VIDEO,https://www.youtube.com/watch?v=FdSLx4DxXFM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-3f7752e7ccc3aba48fbe2bf5,src-eeb21b9b936fd5c873423e86,VIDEO,https://www.youtube.com/live/TNl50GlUn7k,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-40519ad27aaf09de7377d1c3,src-4345b6219d62e02e9cfd60ff,VIDEO,https://www.youtube.com/live/oLSQsikY_YY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-412a1645e7f8f21b581c2976,src-1d7752e04c269e4086c60779,VIDEO,https://www.youtube.com/watch?v=1siOhtZBdsg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-41829c12a69f88e582753b2e,src-d5f05c1f8dd10f1e8e896c42,VIDEO,https://www.youtube.com/watch?v=pLnXRNfsY64,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-41fe6e0ac31be321aee3b605,src-9882e4fb41617c3d2f8a0142,VIDEO,https://www.youtube.com/watch?v=tcJsdiyFU4U,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-423916e6890cc706d9904f5c,src-a21802e5214de49378464c10,AUDIO,https://minneapolisfed.org/-/media/files/news_events/pres/kashkari-05-09-2016-media-qa.mp3?rev=6622b996a457460bb187bf477f6cef08,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-423916e6890cc706d9904f5c,src-14c1fc857733a33526cb0954,AUDIO,https://www.minneapolisfed.org/-/media/files/news_events/pres/kashkari-05-09-2016-media-qa.mp3?rev=6622b996a457460bb187bf477f6cef08,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-423916e6890cc706d9904f5c,src-14c1fc857733a33526cb0954,VIDEO,https://www.youtube.com/watch?v=t2qwMgPnJ84,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-42c32d78353cf92e68c82e5a,src-b5df452d2896e6f8bbba3071,VIDEO,https://www.youtube.com/live/EoHz0l3lVJo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-43925c45dddae76c839c4b2e,src-55f6c5f3e191b345ae8bd8b2,VIDEO,https://www.youtube.com/live/33tijvnLkGE?si=t6FmDeMjhmEdvn9n,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-43b9e71db082e27e873996b5,src-4fd526fda038cf21ac32286a,VIDEO,https://youtube.com/live/HHHv12FvEpg?feature=sh,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-44421dc3987531bc4e3c8380,src-d0d32b71bfbc142557b58594,VIDEO,https://www.youtube.com/watch?v=t65dei4_BTY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
